date,twse_close,twse_change_pct,candidate_count,v01_score,v01_regime,v02_score,v02_regime,breakout_count,postbreakout_count,near_pivot_count,forming_count,extended_count,active_industry_count,t1_return_pct,t3_return_pct,t5_return_pct,t10_return_pct,v02_delta_1d,v02_delta_5d,divergence_1d
2025-08-25,24277.38,2.1583,152,58.3,中性偏多,61.0,中性偏多,6,98,34,14,25,28,0.1142,-0.1686,-0.8471,1.1121,,,
2025-08-26,24305.1,0.1142,189,52.1,中性,53.6,中性,3,132,44,10,34,25,0.8838,-0.2962,-1.1863,2.2632,-7.399999999999999,,-7.514199999999999
2025-08-27,24519.9,0.8838,200,50.1,中性,51.5,中性,6,173,21,0,51,26,-1.156,-1.8278,-1.7113,2.7434,-2.1000000000000014,,-2.9838000000000013
2025-08-28,24236.45,-1.156,200,45.6,中性,46.4,中性,4,184,12,0,51,26,-0.0138,-0.9064,-0.2335,4.0405,-5.100000000000001,,-3.9440000000000017
2025-08-29,24233.1,-0.0138,200,45.3,中性,46.0,中性,4,186,10,0,60,26,-0.6659,-0.548,1.079,5.1233,-0.3999999999999986,,-0.3861999999999986
2025-09-01,24071.73,-0.6659,171,50.1,中性,51.5,中性,2,118,34,17,29,27,-0.2283,0.4492,1.976,5.34,5.5,-9.5,6.1659
2025-09-02,24016.78,-0.2283,126,53.5,中性,55.6,中性偏多,3,83,25,15,21,25,0.3478,1.9894,3.4909,6.7156,4.100000000000001,2.0,4.328300000000001
2025-09-03,24100.3,0.3478,123,56.8,中性偏多,59.5,中性偏多,4,75,27,17,23,23,0.3301,1.8551,4.5323,5.5516,3.8999999999999986,8.0,3.5521999999999987
2025-09-04,24179.85,0.3301,151,53.8,中性,53.6,中性,2,97,34,18,18,21,1.3016,2.7929,4.284,6.5737,-5.899999999999999,7.200000000000003,-6.230099999999998
2025-09-05,24494.58,1.3016,186,53.9,中性,55.8,中性偏多,4,122,43,17,38,23,0.2156,2.8496,4.0011,4.4246,2.1999999999999957,9.799999999999997,0.8983999999999956
2025-09-08,24547.38,0.2156,186,56.4,中性偏多,58.7,中性偏多,6,122,41,17,47,24,1.2539,2.7226,3.2988,5.4312,2.9000000000000057,7.200000000000003,2.6844000000000054
2025-09-09,24855.18,1.2539,185,52.3,中性,53.7,中性,3,129,43,10,41,22,1.3575,2.4923,3.1159,5.6012,-5.0,-1.8999999999999986,-6.2539
2025-09-10,25192.59,1.3575,187,55.7,中性偏多,57.9,中性偏多,5,121,45,16,33,24,0.0918,0.6532,0.9751,3.9859,4.199999999999996,-1.6000000000000014,2.842499999999996
2025-09-11,25215.71,0.0918,134,58.4,中性偏多,58.7,中性偏多,3,77,36,18,16,21,1.0269,1.6416,2.1956,3.2049,0.8000000000000043,5.100000000000001,0.7082000000000043
